No;mainline;variant;stars_ml;stars_vr;pr_ml;pr_vr;issues_ml;issues_vr;commits_ml;commits_vr
1;JabRef/jabref;koppor/jabref;2311;7;4788;24;8116;519;11048;17
2;mmcgrana/gobyexample;golangit/gobyexample-it;5101;11;260;76;396;77;357;241
3;desktop/desktop;shiftkey/desktop;13117;3783;4374;199;12268;597;21116;21129
4;thinkle/gourmet;kirienko/gourmet;321;23;102;251;1026;373;669;821
5;GiulioRossetti/ndlib;KDDComplexNetworkAnalysis/ndlib;190;7;164;48;207;48;450;467
6;kiprotect/klaro;empreinte-digitale/orejime;724;86;135;33;407;72;650;220
7;shurcooL/markdownfmt;Kunde21/markdownfmt;726;30;18;22;60;37;13;37
8;shimmerproject/Numix;Ferdi265/numix-solarized-gtk-theme;1153;61;247;5;755;27;181;226
9;monero-project/monero;oxen-io/oxen-core;6266;219;5285;1187;7798;1490;5207;8090
10;raylee/tldr-sh-client;pepa65/tldr-bash-client;618;141;24;5;46;15;63;93
