No;mainline;variant;stars_ml;stars_vr;pr_ml;pr_vr;issues_ml;issues_vr;commits_ml;commits_vr
1;CloudburstMC/Nukkit;CloudburstMC/Server;873;134;1167;85;1859;133;190;421
2;m0ver/tinystruct-examples;tinystruct/tinystruct-examples;63;94;18;12;18;12;133;141
3;JabRef/jabref;koppor/jabref;2311;7;4788;24;8116;519;11048;17
