No;mainline;variant;stars_ml;stars_vr;pr_ml;pr_vr;issues_ml;issues_vr;commits_ml;commits_vr
1;austencm/youtube-auto-like;Taknok/youtube-auto-like;89;39;24;18;86;53;102;152
2;dashpay/dash;PIVX-Project/PIVX;1408;484;3878;1955;4474;2564;6732;9120
3;getsentry/sentry-auth-google;siemens/sentry-auth-oidc;35;41;14;18;42;30;3;38
4;javacc/javacc;phax/ParserGeneratorCC;722;7;114;6;216;32;485;356
5;eclipse/winery;OpenTOSCA/winery;39;13;561;196;630;253;1617;1634
