No;mainline;variant;stars_ml;stars_vr;pr_ml;pr_vr;issues_ml;issues_vr;commits_ml;commits_vr
1;Bjorn248/BjornBot;BjornTwitchBot/BjornBot;0;2;10;15;13;15;65;80
2;tadas-s/isbnjs;inventaire/isbn3;4;10;15;5;18;7;11;168
3;highsolutions/laravel-lang-import-export;AidasK/laravel-lang-import-export;23;7;10;2;10;3;8;42
4;skrusty/AsterNET.ARI;seiggy/AsterNET.ARI;73;1;32;36;83;36;76;110
5;KnpLabs/DictionaryBundle;biig-io/DictionaryBundle;79;8;136;35;153;60;115;84
6;goshippo/shippo-csharp-client;HakanL/shippo-csharp-client;48;5;46;1;70;7;71;18
7;bosnadev/database;emiliopedrollo/laravel-postgres-extended-schema;75;0;36;2;51;2;22;61
8;j-guyon/CommandSchedulerBundle;carlossosa/CommandSchedulerBundle;324;0;101;1;200;1;155;82
9;macopedia/magmi-m2;lsv/magmi-m2;107;0;29;1;99;1;20;24
