No;mainline;variant;stars_ml;stars_vr;pr_ml;pr_vr;issues_ml;issues_vr;commits_ml;commits_vr
1;apex-enterprise-patterns/fflib-apex-common;wimvelzeboer/fflib-apex-common;595;9;172;8;354;8;122;121
2;golang/exp;oakmound/shiny;598;12;20;7;20;15;273;97
3;golang/crypto;ProtonMail/go-crypto;2263;145;190;68;190;87;565;655
4;JamesNK/Newtonsoft.Json;jilleJr/Newtonsoft.Json-for-Unity;8846;664;578;59;2571;119;74;311
5;austencm/youtube-auto-like;Taknok/youtube-auto-like;89;39;24;18;86;53;102;152
6;dashpay/dash;PIVX-Project/PIVX;1408;484;3878;1955;4474;2564;6732;9120
7;getsentry/sentry-auth-google;siemens/sentry-auth-oidc;35;41;14;18;42;30;3;38
8;javacc/javacc;phax/ParserGeneratorCC;722;7;114;6;216;32;485;356
9;eclipse/winery;OpenTOSCA/winery;39;13;561;196;630;253;1617;1634
10;Baystation12/Baystation12;Aurorastation/Aurora.3;356;72;19028;8350;31224;12578;27618;12893
11;CloudburstMC/Nukkit;CloudburstMC/Server;873;134;1167;85;1859;133;190;421
12;m0ver/tinystruct-examples;tinystruct/tinystruct-examples;63;94;18;12;18;12;133;141
13;JabRef/jabref;koppor/jabref;2311;7;4788;24;8116;519;11048;17
14;arachnys/cabot;Affirm/cabot;5162;10;265;206;710;206;498;444
15;erikrose/blessings;jquast/blessed;1250;712;79;101;163;220;44;637
16;rust-rocksdb/rust-rocksdb;tikv/rust-rocksdb;959;217;343;605;556;665;515;471
17;opentk/opentk;ppy/osuTK;2206;26;710;70;1331;70;2355;1143
18;ncase/trust;dccxi/trust-zh-CN;4688;602;34;7;117;7;86;181
19;mmcgrana/gobyexample;golangit/gobyexample-it;5101;11;260;76;396;77;357;241
20;desktop/desktop;shiftkey/desktop;13117;3783;4374;199;12268;597;21116;21129
21;thinkle/gourmet;kirienko/gourmet;321;23;102;251;1026;373;669;821
22;GiulioRossetti/ndlib;KDDComplexNetworkAnalysis/ndlib;190;7;164;48;207;48;450;467
23;kiprotect/klaro;empreinte-digitale/orejime;724;86;135;33;407;72;650;220
24;shurcooL/markdownfmt;Kunde21/markdownfmt;726;30;18;22;60;37;13;37
25;shimmerproject/Numix;Ferdi265/numix-solarized-gtk-theme;1153;61;247;5;755;27;181;226
26;monero-project/monero;oxen-io/oxen-core;6266;219;5285;1187;7798;1490;5207;8090
27;raylee/tldr-sh-client;pepa65/tldr-bash-client;618;141;24;5;46;15;63;93
