No;mainline;variant;stars_ml;stars_vr;pr_ml;pr_vr;issues_ml;issues_vr;commits_ml;commits_vr
1;pinterest/PINCache;wireapp/PINCache;2481;5;193;1;309;1;154;79
2;silascutler/LnkParse;Matmaus/LnkParse3;107;4;2;16;5;18;16;172
3;PetterKraabol/Twitch-Chat-Downloader;TheDrHax/Twitch-Chat-Downloader;479;16;22;3;129;8;119;86
4;kyuupichan/electrumx;spesmilo/electrumx;643;217;473;76;1049;152;869;915
5;glyptodon/guacamole-client;padarom/guacamole-common-js;1032;18;469;8;469;11;1827;1577
6;swig/swig;swig-fortran/swig;4169;34;850;97;2071;165;3666;3746
7;curl/curl;Unity-Technologies/curl;22113;17;4633;17;7664;17;9275;8857
8;eclipse/winery;OpenTOSCA/winery;39;13;561;196;630;253;1617;1634
9;rogerclarkmelbourne/Arduino_STM32;stevstrong/Arduino_STM32;2137;30;388;15;859;44;1047;1336
10;NickWaterton/Roomba980-Python;pschmitt/roombapy;225;14;29;75;95;97;101;180
