variant_status;respondent;mainline;variant;details
Attached;R1_68;apple/swift;swiftwasm/swift;Yes, they still discuss the direction of the projects
Attached;R1_69;austencm/youtube-auto-like;Taknok/youtube-auto-like;Yes, they still discuss the direction of the projects
Attached;R1_70;dashpay/dash;PIVX-Project/PIVX;They used to discuss but not anymore since the projects have technically diverged from each other
Attached;R1_71;getsentry/sentry-auth-google;siemens/sentry-auth-oidc;No, there has never been any discussion since the creation of the variant
Attached;R1_72;javacc/javacc;phax/ParserGeneratorCC;No, there has never been any discussion since the creation of the variant
Attached;R1_73;eclipse/winery;OpenTOSCA/winery;No, there has never been any discussion since the creation of the variant
Attached;R1_74;goldsmith/Wikipedia;lehinevych/MediaWikiAPI;No, there has never been any discussion since the creation of the variant
Attached;R1_75;MediaBrowser/plugin.video.emby;croneter/PlexKodiConnect;No, there has never been any discussion since the creation of the variant
Attached;R1_76;microsoft/azure-tools-for-java;JetBrains/azure-tools-for-intellij;No, there has never been any discussion since the creation of the variant
Attached;R1_77;dashpay/dash;biblepay/biblepay;In the crypto world, the mainline inherits changes from BITCOIN, for example, security commits, and the variant merges those changes in. So the variant is very interested in every change in the Mainline. However, the variant must maintain the specific new features that we added separately, and the Mainline is not interested in helping the Variant do this.
Attached;R1_78;bcdev/beam;senbox-org/snap-engine;No, there has never been any discussion since the creation of the variant
Attached;R1_79;jdsteinbach/eleventy-plugin-toc;JordanShurmer/eleventy-plugin-toc;No, there has never been any discussion since the creation of the variant
Attached;R1_80;openssl/openssl;open-quantum-safe/openssl;Yes, they still discuss the direction of the projects
Attached;R1_81;jnovack/homebridge-better-http-rgb;QuickSander/homebridge-http-rgb-push;Yes, they still discuss the direction of the projects
Attached;R1_82;FirebaseExtended/firebase-queue;kaliberjs/firebase-queue;No, there has never been any discussion since the creation of the variant
Detached;R2_1;PaperMC/Paper;pl3xgaming/Purpur;Yes, they still discuss the direction of the projects
Detached;R2_2;fogleman/Minecraft;traverseda/pycraft;No, there has never been any discussion since the creation of the variant
Detached;R2_3;PaperMC/Waterfall;yesdog/Waterdog;I do not discuss, but I am not sure if other maintainers do
